"E:\Apps\IntellijLicensed\JetBrains\IntelliJ IDEA 2019.3.3\jbr\bin\java.exe" "-javaagent:E:\Apps\IntellijLicensed\JetBrains\IntelliJ IDEA 2019.3.3\lib\idea_rt.jar=27518:E:\Apps\IntellijLicensed\JetBrains\IntelliJ IDEA 2019.3.3\bin" -Dfile.encoding=UTF-8 -classpath H:\Study\Code\DSA\out\production\DSA com.Arrays.BinarySearchOrderedArray
SortTime:9741200
LinearSearch:192199   BinarySearch:16000
LinearSearch:277700   BinarySearch:2700
LinearSearch:185501   BinarySearch:2101
LinearSearch:266500   BinarySearch:2999
LinearSearch:75400   BinarySearch:2000
LinearSearch:262399   BinarySearch:2500
LinearSearch:222099   BinarySearch:8699
LinearSearch:1185800   BinarySearch:2100
LinearSearch:513000   BinarySearch:1599
LinearSearch:5700   BinarySearch:1300
LinearSearch:14901   BinarySearch:1400
LinearSearch:11500   BinarySearch:1100
LinearSearch:16400   BinarySearch:1499
LinearSearch:10000   BinarySearch:1501
LinearSearch:6999   BinarySearch:1401
LinearSearch:3700   BinarySearch:1300
LinearSearch:1700   BinarySearch:1300
LinearSearch:16500   BinarySearch:1600
LinearSearch:14100   BinarySearch:1300
LinearSearch:6200   BinarySearch:1500
LinearSearch:14900   BinarySearch:1600
LinearSearch:2300   BinarySearch:1200
LinearSearch:12999   BinarySearch:1499
LinearSearch:11000   BinarySearch:1400
LinearSearch:13800   BinarySearch:1600
LinearSearch:6599   BinarySearch:1300
LinearSearch:13500   BinarySearch:1500
LinearSearch:13000   BinarySearch:1499
LinearSearch:13500   BinarySearch:1599
LinearSearch:400   BinarySearch:1300
LinearSearch:13201   BinarySearch:1600
LinearSearch:2400   BinarySearch:1299
LinearSearch:10801   BinarySearch:1399
LinearSearch:10400   BinarySearch:5200
LinearSearch:12200   BinarySearch:1400
LinearSearch:13500   BinarySearch:1600
LinearSearch:13200   BinarySearch:1501
LinearSearch:13100   BinarySearch:1600
LinearSearch:8001   BinarySearch:1300
LinearSearch:11701   BinarySearch:1400
LinearSearch:13099   BinarySearch:1400
LinearSearch:14199   BinarySearch:2400
LinearSearch:19800   BinarySearch:1800
LinearSearch:24201   BinarySearch:1900
LinearSearch:5200   BinarySearch:1900
LinearSearch:5600   BinarySearch:1900
LinearSearch:8200   BinarySearch:1301
LinearSearch:10500   BinarySearch:1399
LinearSearch:8400   BinarySearch:1301
LinearSearch:13300   BinarySearch:1501
LinearSearch:2100   BinarySearch:1301
LinearSearch:8600   BinarySearch:1200
LinearSearch:10400   BinarySearch:1500
LinearSearch:5600   BinarySearch:1300
LinearSearch:7100   BinarySearch:1300
LinearSearch:399   BinarySearch:1300
LinearSearch:400   BinarySearch:1000
LinearSearch:9600   BinarySearch:1601
LinearSearch:13300   BinarySearch:1601
LinearSearch:13201   BinarySearch:1400
LinearSearch:8100   BinarySearch:1999
LinearSearch:14000   BinarySearch:1800
LinearSearch:3900   BinarySearch:1500
LinearSearch:3600   BinarySearch:1599
LinearSearch:8600   BinarySearch:1500
LinearSearch:5400   BinarySearch:1599
LinearSearch:13499   BinarySearch:1500
LinearSearch:8200   BinarySearch:1299
LinearSearch:9501   BinarySearch:1199
LinearSearch:13100   BinarySearch:1300
LinearSearch:13099   BinarySearch:2599
LinearSearch:4000   BinarySearch:1299
LinearSearch:12100   BinarySearch:1499
LinearSearch:11699   BinarySearch:1301
LinearSearch:12800   BinarySearch:1401
LinearSearch:1801   BinarySearch:1600
LinearSearch:7200   BinarySearch:1500
LinearSearch:13201   BinarySearch:1599
LinearSearch:13100   BinarySearch:1500
LinearSearch:9800   BinarySearch:1501
LinearSearch:3501   BinarySearch:1100
LinearSearch:12200   BinarySearch:1100
LinearSearch:13101   BinarySearch:1500
LinearSearch:5599   BinarySearch:1500
LinearSearch:7299   BinarySearch:1400
LinearSearch:1200   BinarySearch:1301
LinearSearch:7201   BinarySearch:1400
LinearSearch:12300   BinarySearch:1400
LinearSearch:13201   BinarySearch:2100
LinearSearch:6800   BinarySearch:1301
LinearSearch:13000   BinarySearch:1400
LinearSearch:1100   BinarySearch:1099
LinearSearch:5599   BinarySearch:1299
LinearSearch:13100   BinarySearch:1500
LinearSearch:13100   BinarySearch:1599
LinearSearch:13099   BinarySearch:2000
LinearSearch:4500   BinarySearch:1400
LinearSearch:13100   BinarySearch:1600
LinearSearch:15401   BinarySearch:1301
LinearSearch:13100   BinarySearch:1600

Process finished with exit code 0
